,links
88,https://www.straitstimes.com/singapore/courts-crime/fines-for-construction-firm-and-its-two-directors-over-improper-housing-for
89,https://www.straitstimes.com/singapore/courts-crime/man-given-2-12-years-jail-for-driving-stolen-malaysian-vehicles-to-singapore
90,https://www.straitstimes.com/singapore/courts-crime/homesick-indonesian-maid-faces-death-penalty-for-murdering-employer
91,https://www.straitstimes.com/singapore/courts-crime/student-who-molested-female-classmate-in-school-toilet-given-21-months
92,https://www.straitstimes.com/singapore/courts-crime/student-in-nus-sexual-misconduct-case-given-conditional-warning-due-to-high
93,https://www.straitstimes.com/singapore/courts-crime/man-arrested-for-allegedly-cheating-carousell-users-of-uss-and-zoukout-entry
94,https://www.straitstimes.com/singapore/courts-crime/jail-caning-for-man-who-followed-teenage-girl-to-her-block-and-molested-her
95,https://www.straitstimes.com/singapore/courts-crime/5-months-jail-for-man-who-stole-nearly-36k-worth-of-jewellery-from-yew-tee
96,https://www.straitstimes.com/singapore/courts-crime/14-years-jail-and-24-strokes-of-the-cane-for-forklift-driver-who-raped
97,https://www.straitstimes.com/singapore/courts-crime/new-appellate-court-may-be-set-up-to-ease-court-of-appeals-growing-caseload
98,https://www.straitstimes.com/singapore/courts-crime/teacher-lured-male-students-to-his-home-and-performed-sexual-acts-on-them
99,https://www.straitstimes.com/singapore/courts-crime/indian-national-involved-in-312m-call-centre-scam-extradited-from-singapore
100,https://www.straitstimes.com/singapore/courts-crime/over-25-people-scammed-into-getting-loans-since-november-when-buying
101,https://www.straitstimes.com/singapore/courts-crime/hospital-patient-dies-after-being-given-regular-meals-instead-of-soft-diet
102,https://www.straitstimes.com/singapore/courts-crime/hacking-firm-gets-only-1000-from-suit-against-ex-employee-has-to-pay-25k
103,https://www.straitstimes.com/singapore/courts-crime/music-teacher-molested-teenage-student-during-cello-lessons
104,https://www.straitstimes.com/singapore/courts-crime/teenager-arrested-for-ed-sheeran-maroon-5-blackpink-ticket-scams-involving
105,https://www.straitstimes.com/singapore/courts-crime/four-arrested-45000-worth-of-drugs-seized-in-cnb-blitz
106,https://www.straitstimes.com/singapore/courts-crime/ardmore-park-tycoon-declared-bankrupt-in-hong-kong
107,https://www.straitstimes.com/singapore/courts-crime/doctor-called-in-sick-so-he-could-work-as-locum-to-earn-extra-money-then
108,https://www.straitstimes.com/singapore/courts-crime/15-months-jail-for-former-part-time-english-teacher-in-private-school-who
109,https://www.straitstimes.com/singapore/courts-crime/jail-fine-for-debt-recovery-firm-director-for-offences-including-harassment
110,https://www.straitstimes.com/singapore/courts-crime/magician-retracts-guilty-plea-after-earlier-admitting-role-behind-false
111,https://www.straitstimes.com/singapore/courts-crime/21-months-jail-for-ex-keppel-shipyard-employee-who-took-more-than-740k-in
112,https://www.straitstimes.com/singapore/courts-crime/waiter-diner-arrested-for-affray-at-korean-restaurant-cause-of-fight-disputed
